ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756091458300000000,113269.54,113528.39,0.04,1e-05,113398.965,258.85,113528.325304
1756091458350000000,113269.54,113528.39,0.04,1e-05,113398.965,258.85,113528.325304
1756091458400000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458450000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458500000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458550000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458600000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458650000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458700000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458750000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458800000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458850000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458900000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091458950000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459000000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459050000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459100000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459150000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459200000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459250000000,113269.55,113528.39,0.12002,1e-05,113398.97,258.84,113528.368435
1756091459300000000,113269.56,113528.39,0.00174,1e-05,113398.975,258.83,113526.910971
1756091459350000000,113269.56,113528.39,0.00174,1e-05,113398.975,258.83,113526.910971
1756091459400000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459450000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459500000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459550000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459600000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459650000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459700000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459750000000,113269.57,113528.39,0.1001,1e-05,113398.98,258.82,113528.364146
1756091459800000000,113269.58,113528.39,0.04,1e-05,113398.985,258.81,113528.325314
